Age_of_Casualty,Pedestrian_Movement,Gender_of_Casualty,Accident
23,0,1,0
36,0,2,0
24,0,1,0
59,0,2,1
28,0,1,1
30,0,2,1
33,1,2,1
30,0,2,1
21,0,1,1
7,0,2,1
36,0,1,0
53,3,1,0
29,0,1,0
11,3,1,0
30,0,1,1
62,0,1,1
34,0,1,1
20,0,1,0
38,2,2,1
62,1,1,1
32,1,2,0
52,0,2,1
79,0,1,1
37,0,1,1
61,0,2,1
80,0,2,1
74,5,1,1
77,0,1,1
58,0,1,1
23,0,1,1
22,1,1,0
2,9,2,0
53,0,2,0
58,3,1,1
24,0,2,1
29,0,1,1
24,0,1,0
31,0,1,0
51,0,1,1
58,0,1,0
12,0,2,0
30,0,1,0
28,0,2,1
32,0,1,1
38,0,2,1
83,0,1,1
75,0,2,1
89,0,2,1
21,0,1,1
40,0,1,0
46,0,1,0
24,1,1,0
33,0,1,0
24,0,1,1
23,0,1,1
37,0,1,1
40,0,1,0
62,0,2,1
3,0,2,1
56,0,1,0
52,0,2,1
37,0,2,1
24,1,2,1
11,1,1,1
34,0,1,1
36,0,1,1
28,0,1,1
18,0,1,1
39,0,1,1
15,0,2,0
23,0,1,0
24,0,1,0
45,0,1,1
12,1,1,1
29,0,2,1
73,1,2,0
52,1,2,0
57,3,2,1
37,1,2,0
48,0,1,0
45,0,2,0
52,0,2,1
39,3,1,1
21,0,1,1
32,0,2,1
36,0,1,1
30,0,1,1
50,0,2,1
81,0,2,0
20,0,1,0
21,0,1,0
64,0,2,0
22,0,1,1
21,0,2,1
18,0,1,1
62,0,1,0
33,0,1,1
48,0,2,1
16,0,2,0
42,0,1,1
50,0,1,1
46,0,2,1
0,0,2,1
31,0,2,1
88,0,1,1
33,0,1,1
26,0,1,1
14,1,1,1
46,9,2,0
31,0,1,0
15,1,1,0
51,0,1,1
46,0,1,1
40,0,1,1
62,5,1,0
23,0,1,0
43,0,1,1
46,0,1,0
27,0,1,0
28,0,1,0
18,0,1,1
59,0,1,1
20,0,2,1
18,0,1,1
29,0,1,1
14,9,2,1
18,1,1,1
25,0,1,0
68,0,1,0
84,0,2,0
59,0,2,0
58,0,2,1
35,9,2,1
24,0,1,1
26,0,1,0
25,0,1,1
40,0,1,1
76,0,1,0
40,0,2,1
22,9,1,1
32,0,2,1
20,0,1,1
18,0,1,1
65,0,1,1
69,0,2,1
29,0,1,1
19,3,2,1
44,0,1,0
27,0,2,0
36,0,1,0
65,0,1,1
20,0,1,1
26,0,2,1
23,3,1,0
13,9,1,0
25,0,2,0
42,0,1,1
30,0,1,1
50,0,1,1
25,1,2,1
24,0,1,1
38,1,2,1
2,1,2,1
62,0,2,0
28,0,1,0
33,0,1,0
22,0,1,0
37,0,2,1
49,3,1,1
53,0,2,1
26,0,1,0
41,0,1,1
84,0,2,1
38,0,1,0
27,0,1,1
39,0,1,1
25,0,1,1
89,9,2,1
31,0,2,1
84,0,1,1
24,0,1,1
32,0,2,1
71,0,2,1
38,3,1,0
22,0,2,0
55,0,1,0
53,0,1,1
61,0,2,1
30,0,2,1
44,0,2,0
25,0,1,0
15,0,1,1
19,9,2,0
50,0,2,0
30,0,1,0
25,0,1,1
45,0,1,1
26,9,2,1
56,0,1,1
15,0,2,1
50,0,1,1
15,0,2,1
34,0,2,0
32,0,2,0
57,0,1,0
37,0,1,0
28,0,1,1
37,0,2,1
57,0,1,1
56,0,2,0
13,0,1,1
33,0,1,1
45,0,2,0
32,0,1,1
17,0,1,1
27,0,1,1
30,0,1,1
23,0,1,1
54,0,1,1
65,0,2,1
33,0,1,1
22,0,1,1
23,0,1,0
25,0,1,0
30,0,1,0
64,0,1,1
9,2,2,1
35,0,1,1
27,7,1,0
35,0,1,0
86,0,2,0
49,0,1,1
23,0,1,1
36,0,1,1
29,0,1,1
23,0,2,1
71,0,2,1
20,0,1,1
23,0,2,0
15,0,2,0
3,0,2,0
33,0,1,0
23,0,1,1
46,0,1,1
74,0,1,1
51,0,2,0
55,0,2,1
50,0,2,1
42,0,2,0
42,4,1,1
25,0,1,1
30,0,1,1
38,0,2,1
25,0,1,1
25,0,1,1
21,0,1,1
20,5,1,1
33,0,1,1
27,0,2,0
2,0,1,0
47,0,1,0
25,0,1,1
54,0,1,1
26,0,1,1
46,0,1,0
27,0,1,0
36,0,1,1
60,9,2,0
23,0,2,0
42,0,2,0
40,0,2,1
16,0,1,1
45,0,1,1
37,0,1,1
24,0,1,1
30,0,1,1
33,0,1,1
45,0,2,0
16,0,1,0
58,0,2,0
32,9,1,0
20,0,1,1
23,3,1,1
14,1,1,1
32,0,1,0
22,0,1,1
24,0,1,1
37,0,1,0
20,0,2,1
64,0,2,1
81,1,2,1
49,0,1,1
90,1,1,1
41,0,1,1
22,0,1,1
35,0,1,1
23,0,1,1
21,9,1,0
33,0,1,0
59,9,1,0
23,0,1,1
24,0,1,1
40,0,2,1
9,0,1,0
9,0,1,0
41,0,1,0
32,0,1,1
45,0,1,1
31,0,1,1
33,0,1,1
66,0,1,1
35,0,2,1
43,0,2,1
53,0,2,0
19,0,1,0
42,0,2,0
48,0,1,0
33,0,1,1
49,0,1,1
48,1,2,1
26,0,1,0
29,0,1,1
34,0,1,1
18,0,2,0
32,0,1,1
29,0,2,1
36,0,1,1
72,0,2,1
49,0,2,1
42,0,1,1
20,0,1,1
38,0,1,1
23,0,1,1
58,1,1,0
58,0,1,0
35,0,1,0
42,0,2,1
44,0,2,1
26,9,2,1
12,0,2,0
20,0,1,0
40,0,1,1
42,0,1,0
24,0,1,0
16,0,2,0
75,0,2,1
29,0,1,1
24,1,1,1
21,0,1,1
30,3,1,1
